PV,elemField_eng,elemField_phy,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine,physicsName,physicsType,pvPolicy
FE_SCS1:QE_D0730:V_RSET,V,V,readset,17,0.2052,FE_SCS1:QVE_D0730,3.09535413,EQUAD,LIVE,ES_quad_Y,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0730:V_RD,V,V,readback,17,0.2052,FE_SCS1:QVE_D0730,3.09535413,EQUAD,LIVE,ES_quad_Y,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0733:V_CSET,V,V,setpoint,19,0.2052,FE_SCS1:QHE_D0733,3.43035413,EQUAD,LIVE,ES_quad_X,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0733:V_RSET,V,V,readset,19,0.2052,FE_SCS1:QHE_D0733,3.43035413,EQUAD,LIVE,ES_quad_X,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0733:V_RD,V,V,readback,19,0.2052,FE_SCS1:QHE_D0733,3.43035413,EQUAD,LIVE,ES_quad_X,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:FC_D0738:AVG_RD,I,I,readback,25,0.0,FE_SCS1:FC_D0738,3.79507611,FC,LIVE,Faraday cup,FC2,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
#FE_SCS1:FC_D0738:VoltageMeasure,V,V,readback,25,0.0,FE_SCS1:FC_D0738,3.79507611,FC,LIVE,Faraday cup,FC2,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
#FE_SCS1:FC_D0738:VoltageSet,V,V,setpoint,25,0.0,FE_SCS1:FC_D0738,3.79507611,FC,LIVE,Faraday cup,FC2,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:FC_D0738:XCEN_RD,XCEN,XCEN,readback,25,0.0,FE_SCS1:FC_D0738,3.79507611,FC,LIVE,Faraday cup,FC2,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:FC_D0738:YCEN_RD,YCEN,YCEN,readback,25,0.0,FE_SCS1:FC_D0738,3.79507611,FC,LIVE,Faraday cup,FC2,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
