PV,elemField_eng,elemField_phy,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine,physicsName,physicsType,,,
LS1_CA01:CAV3_D1142:PHA_RSET,PHA,PHASE,readset,14,0.24,LS1_CA01:CAV3_D1142,1.9333255,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:CAV3_D1142:PHA_RD,PHA,PHASE,readback,14,0.24,LS1_CA01:CAV3_D1142,1.9333255,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:CAV3_D1142:AMPL_CSET,AMP,AMPLITUDE,setpoint,14,0.24,LS1_CA01:CAV3_D1142,1.9333255,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:CAV3_D1142:AMPL_RSET,AMP,AMPLITUDE,readset,14,0.24,LS1_CA01:CAV3_D1142,1.9333255,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:CAV3_D1142:AMPL_RD,AMP,AMPLITUDE,readback,14,0.24,LS1_CA01:CAV3_D1142,1.9333255,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:BPM_D1144:X_RD,X,XPOS,readback,17,0,LS1_CA01:BPM_D1144,2.001517,BPM,LIVE,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:BPM_D1144:Y_RD,Y,YPOS,readback,17,0,LS1_CA01:BPM_D1144,2.001517,BPM,LIVE,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:BPM_D1144:PHA_RD,PHA,PHASE,readback,17,0,LS1_CA01:BPM_D1144,2.001517,BPM,LIVE,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:BPM_D1144:ENG_RD,ENG,ENERGY,readback,17,0,LS1_CA01:BPM_D1144,2.001517,BPM,LIVE,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:SOL2_D1146:I_CSET,I,B,setpoint,20,0.2,LS1_CA01:SOL2_D1146,2.3606035,SOL,LIVE,solenoid+correctors,SOL_S1,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:SOL2_D1146:I_RSET,I,B,readset,20,0.2,LS1_CA01:SOL2_D1146,2.3606035,SOL,LIVE,solenoid+correctors,SOL_S1,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:SOL2_D1146:I_RD,I,B,readback,20,0.2,LS1_CA01:SOL2_D1146,2.3606035,SOL,LIVE,solenoid+correctors,SOL_S1,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:DCH_D1146:I_CSET,I,ANG,setpoint,20,0,LS1_CA01:DCH_D1146,2.2606035,HCOR,LIVE,horiz. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:DCH_D1146:I_RSET,I,ANG,readset,20,0,LS1_CA01:DCH_D1146,2.2606035,HCOR,LIVE,horiz. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:DCH_D1146:I_RD,I,ANG,readback,20,0,LS1_CA01:DCH_D1146,2.2606035,HCOR,LIVE,horiz. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:DCV_D1146:I_CSET,I,ANG,setpoint,20,0,LS1_CA01:DCV_D1146,2.2606035,VCOR,LIVE,vert. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:DCV_D1146:I_RSET,I,ANG,readset,20,0,LS1_CA01:DCV_D1146,2.2606035,VCOR,LIVE,vert. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
